"Gemeente","statcode","Week 11","Week 12","Week 13","Week 14"
"Vaals","GM0981","1.11","0.74","1.11","1.85"
"Venlo","GM0983","1.29","1.80","2.08","2.36"
"Venray","GM0984","1.71","0.92","1.45","2.11"
"Voerendaal","GM0986","1.16","2.03","2.03","1.74"
"Weert","GM0988","1.08","0.83","1.50","1.67"
"Valkenburg aan de Geul","GM0994","1.28","0.85","0.43","2.13"
"Lelystad","GM0995","0.99","0.84","0.84","1.15"
"Horst aan de Maas","GM1507","1.04","1.95","3.51","2.99"
"Oude IJsselstreek","GM1509","1.06","1.28","0.64","1.70"
"Teylingen","GM1525","0.70","0.56","0.85","0.99"
"Utrechtse Heuvelrug","GM1581","0.63","1.17","0.63","1.25"
"Oost Gelre","GM1586","0.49","1.64","1.31","1.80"
"Koggenland","GM1598","0.24","0.95","0.71","1.42"
"Lansingerland","GM1621","0.51","0.64","0.90","2.56"
"Leudal","GM1640","1.69","1.45","2.89","3.61"
"Maasgouw","GM1641","1.15","1.31","1.97","2.30"
"Gemert-Bakel","GM1652","2.13","2.55","4.26","1.70"
"Halderberge","GM1655","1.25","1.72","1.25","1.41"
"Heeze-Leende","GM1658","0.60","1.40","0.60","0.80"
"Laarbeek","GM1659","1.25","1.00","4.25","3.25"
"Reusel-De Mierden","GM1667","0.00","1.36","0.45","1.36"
"Roerdalen","GM1669","0.48","0.95","1.90","2.62"
"Roosendaal","GM1674","1.10","1.16","1.10","1.61"
"Schouwen-Duiveland","GM1676","1.39","0.76","1.14","1.14"
"Aa en Hunze","GM1680","1.25","1.25","1.04","0.83"
"Borger-Odoorn","GM1681","1.15","0.77","1.15","0.96"
"Cuijk","GM1684","0.39","1.76","1.96","2.94"
"Landerd","GM1685","1.80","1.20","3.00","3.90"
"De Wolden","GM1690","1.04","0.63","1.46","1.46"
"Noord-Beveland","GM1695","2.00","1.00","1.00","0.50"
"Wijdemeren","GM1696","1.02","1.22","0.82","1.02"
"Noordenveld","GM1699","1.23","1.08","1.08","0.77"
"Twenterand","GM1700","0.63","0.51","1.39","0.89"
"Westerveld","GM1701","0.38","1.35","0.77","1.35"
"Sint Anthonis","GM1702","2.18","1.09","2.55","2.18"
"Lingewaard","GM1705","1.57","2.00","2.14","1.43"
"Cranendonck","GM1706","0.83","1.88","2.50","3.75"
"Steenwijkerland","GM1708","1.03","1.13","1.24","1.13"
"Moerdijk","GM1709","1.10","1.37","0.96","1.37"
"Echt-Susteren","GM1711","1.07","1.43","1.61","2.14"
"Sluis","GM1714","0.68","1.36","1.36","1.53"
"Drimmelen","GM1719","0.75","1.51","1.32","2.45"
"Bernheze","GM1721","1.55","2.24","4.31","4.83"
"Alphen-Chaam","GM1723","0.48","0.48","3.81","1.43"
"Bergeijk","GM1724","0.79","2.11","1.32","1.58"
"Bladel","GM1728","1.52","0.43","1.30","2.39"
"Gulpen-Wittem","GM1729","0.38","0.77","1.15","1.15"
"Tynaarlo","GM1730","0.74","1.05","0.95","0.32"
"Midden-Drenthe","GM1731","0.83","0.83","1.39","1.11"
"Overbetuwe","GM1734","0.63","1.00","1.75","1.63"
"Hof van Twente","GM1735","0.93","1.40","0.58","1.16"
"Neder-Betuwe","GM1740","0.26","0.77","1.03","2.82"
"Rijssen-Holten","GM1742","1.13","0.70","0.85","1.27"
"Geldrop-Mierlo","GM1771","1.17","1.04","1.04","1.95"
"Olst-Wijhe","GM1773","1.11","1.11","2.00","1.78"
"Dinkelland","GM1774","1.13","1.13","0.97","2.26"
"Westland","GM1783","1.01","1.19","0.89","1.96"
"Midden-Delfland","GM1842","0.77","1.15","1.54","0.38"
"Berkelland","GM1859","0.71","1.31","1.31","1.31"
"Bronckhorst","GM1876","1.29","0.86","1.71","2.14"
"Sittard-Geleen","GM1883","0.79","1.31","1.35","2.10"
"Kaag en Braassem","GM1884","2.06","1.47","0.88","1.47"
"Dantumadiel","GM1891","0.00","1.28","1.03","2.05"
"Zuidplas","GM1892","0.29","0.59","0.74","1.62"
"Peel en Maas","GM1894","1.14","3.92","5.70","4.30"
"Oldambt","GM1895","1.41","0.30","1.52","0.71"
"Zwartewaterland","GM1896","0.58","2.03","2.61","4.06"
"Súdwest-Fryslân","GM1900","1.03","1.27","1.52","0.85"
"Bodegraven-Reeuwijk","GM1901","0.82","0.82","2.86","1.43"
"Eijsden-Margraten","GM1903","0.83","0.63","1.67","2.92"
"Stichtse Vecht","GM1904","0.91","0.83","1.40","1.07"
"Hollands Kroon","GM1911","0.59","1.18","0.94","1.53"
"Leidschendam-Voorburg","GM1916","0.75","0.62","1.30","0.96"
"Goeree-Overflakkee","GM1924","1.86","0.93","1.24","2.27"
"Pijnacker-Nootdorp","GM1926","0.75","0.75","1.31","2.25"
"Nissewaard","GM1930","1.56","0.96","1.56","1.70"
"Krimpenerwaard","GM1931","0.84","0.84","1.58","2.42"
"De Fryske Marren","GM1940","0.18","1.36","0.82","1.55"
"Gooise Meren","GM1942","0.39","1.09","1.33","1.09"
"Berg en Dal","GM1945","0.79","0.79","2.18","1.58"
"Meierijstad","GM1948","1.20","3.66","4.58","5.56"
"Waadhoeke","GM1949","1.01","1.24","1.35","0.90"
"Westerwolde","GM1950","1.43","0.95","0.63","0.95"
"Midden-Groningen","GM1952","1.20","0.93","1.67","0.83"
"Beekdaelen","GM1954","1.49","1.35","1.35","2.43"
"Montferland","GM1955","1.14","0.91","1.14","0.68"
"Altena","GM1959","1.10","0.33","1.10","1.32"
"West Betuwe","GM1960","1.00","1.00","1.44","2.33"
"Vijfheerenlanden","GM1961","1.05","0.97","1.45","1.77"
"Hoeksche Waard","GM1963","1.13","1.19","1.07","1.13"
"Het Hogeland","GM1966","0.71","1.43","1.22","1.02"
"Westerkwartier","GM1969","0.61","1.22","1.22","1.39"
"Noardeast-Fryslân","GM1970","1.00","0.40","1.10","1.30"
"Molenlanden","GM1978","1.13","0.19","0.94","0.94"
