" ","Week 11","Week 12","Week 13","Week 14"
"Nissewaard","1.56","0.96","1.56","1.70"
"Krimpenerwaard","0.84","0.84","1.58","2.42"
"De Fryske Marren","0.18","1.36","0.82","1.55"
"Gooise Meren","0.39","1.09","1.33","1.09"
"Berg en Dal","0.79","0.79","2.18","1.58"
"Meierijstad","1.20","3.66","4.58","5.56"
"Waadhoeke","1.01","1.24","1.35","0.90"
"Westerwolde","1.43","0.95","0.63","0.95"
"Midden-Groningen","1.20","0.93","1.67","0.83"
"Beekdaelen","1.49","1.35","1.35","2.43"
"Montferland","1.14","0.91","1.14","0.68"
"Altena","1.10","0.33","1.10","1.32"
"West Betuwe","1.00","1.00","1.44","2.33"
"Vijfheerenlanden","1.05","0.97","1.45","1.77"
"Hoeksche Waard","1.13","1.19","1.07","1.13"
"Het Hogeland","0.71","1.43","1.22","1.02"
"Westerkwartier","0.61","1.22","1.22","1.39"
"Noardeast-Fryslân","1.00","0.40","1.10","1.30"
"Molenlanden","1.13","0.19","0.94","0.94"
"* provisional figures"
